text;atc_codes;meddra_codes;class
Baclo Espoir en voie de guérison bonjour Adele moi aussi j'ai fait une grosse déprime avec le baclo et en plus j'ai perdu la tete vraiment j'ai donc decide d'arrêter le baclo et ensuite le reprendre avec un médecin qui me donnent plus d'AD je vois que le tien a augmente les doses alors comment te sens tu pour le poids mon addictologue m'a explique qu'a l'arrêt de l'alcool on commence a manger plus comme quand on arrête de fumer pour compenser dans les centres d'addictologie ils commencent donc a intégrer des nutritionnistes tu peux peut être consulter car c'est pas bon pour ton moral non plus situ grossis bise et courage Mitche;;;non
Tout doucement mais là surement  Bonsoir 3ème jour peu certes mais que du bonheur C'est sûr j'ai galéré avec les ES Prise de poids Comportement chelou Somnolence Transpirations nocturnes Insomnies toujours d'actualité et Mais là le jeu en vaut la chandelle Merci Mr Ameisen et Mr Baclo Bon courage à vous Tenez bon J'ai mis plus d'un an pour arriver au but mais je ne regrette rien Biz;;;non
J'ai réussi à passer le bac Indifférente bonjour julie je me permet d'intervenir sur ton fil par rapport à ta perte de poids moi aussi le baclo m'a fait maigrir j'ai perdu 6 kgs en 6 semaines pour arriver à 50 kgs pour 1m70 mais contrairement à toi moi j'ai de l'appétit j'ai d'abord pensé que c'était l'absence d'alccol et ses calories qui me faisait maigrir mais non c'est bien le baclo et comme toi pas question d'arrêter ou de baisser le baclo il te faut optimiser ton alimentation pour prendre un max de calories dans le peu d'aliments que tu prends fais tu du sport comment t'alimentes tu vis tu seule désolée si je peux paraitre intrusive mais je pense que je peux t'aider moi j'ai repris 2 kgs non sans mal mais 2 kgs quand même MP si tu veux biz;10048061;;non
insomnies je n'en peux plus  bonjour à tous tout est dis dans mon titre je suis à 250 mg par jour de baclo toujours pas d'indifférence une légère baisse d'alcool malgré 5 comprimés de theralène je ne dors pas avant 4h du matin voir plus maux de tête réveils nocturnes transpiration boire beaucoup beaucoup uriner je ne peux pas m'arrêter de travailler je suis TNS travailleur indépendant comment faire car cela agit sur mon moral je me lève le matin en pleurant car fatiguée irritée ne supportant aucun bruit j'ai pourtant poussé mes rdv et meme à 9h je n'arrive pas à me réveiller C'est ma deuxième tentative de baclo car une première fois à 180 mg à cause des insomnies et une dépression qui s'installait logique j'ai du cesser le baclo mon deuxième docteur RDB avec qui on a repris le baclo je le voit tous les mois Dois je augmenter le theralène des comp de 5mg j'ai entendu parlé de Mélatonine on peut l'acheter en pharma sans ordo Merci à tous nadine;10012378 10047800;;non
Partie 4 La descente débutée le 1 er Février 2014 Merci beaucoup les filles pour votre passage et un spécial gros merci à Scyane pour nos échanges de mail Citation Franck 06 Décembre 2013 23 35 De lire ce qu'écrivent ces trous du culs est vraiment pénible Je ne vais pas me répéter mais ils ne savent absolument rien de cette maladie et de la souffrance qu'elle génère Ce sont des criminels Je me demande comment tout cela va finir… Ce qui est aussi criminel de la part de ces toubibs c'est ce qui est arrivé à notre pauvre Loup y es tu elle était monté à 360 et sa famille qui s'inquiétait la fait hospitalisée plusieurs semaines à Monfavet grand HP du sud de la France elle touchait du doigt l'indifférence et en une nuit il l'ont fait redescendre à 20 je n'ose imaginer le saut à l'élastique Sinon des nouvelles de mon indifférenceNiveau conso Nickel Le week end dernier nous avons eu notre grosse réunion de famille en Bourgogne vu que nous sommes nombreux c'est plus simple pour nous de la faire entre la Saint Nicolas et Noel Personne n'est au courant de ma dépendance juste que leur soeur à tendance à lever le coude alors dans la voiture j'avais briffé le mari et le fils en ce qui concerne le baclo Motus si quelqu'un doit en parler c'est moi En partant j'étais sûre que pendant ces 2 jours nous allions en parler vu mon changement de comportement j'avais préparé mon scénario et mes arguments Avant d'y aller mon petit frère me tel pour me demander s'il m'amène une bonne bouteille de son rhum arrangé j'ai pas compris je lui es répondu Pourquoi tu veux m'amener une robe En fait c'est comme si le mot Rhum n'existait plus pour moi Mais non Grrr du Rhum Ah ben non merci… j'imaginais sa tête à l'autre bout du fil MDR Nous arrivons enfin vers midi après 6 heures de route j'étais assoiffée Je fonce dans la cuisine et je vois une bouteille de Perrier je m'en suis servie un grand verre et dans ma précipitation je n'ai pas vu qu'il n'y avait pas de bulles Ah Enfin un grand verre d'eau Manque de bol bingo c'est tombé sur ma poire ce n'était pas du Perrier mais de la mirabelle artisanale J'ai foncé vers l'évier pour tout recracher et je me suis frotté compulsivement les lèvres au robinet mes soeurs m'ont dit Non mais ça va c'est pas du poison non plus Et tous le monde était mort de rire car eux était au courant qu'en Lorraine ils mettent la mirabelle dans des bouteilles de Perrier Je le savais aussi et c'est comme si c'était sorti de ma mémoire Avant j'aurais vu cette bouteille et j'aurais dit Ouais super mon alcool préféré A l'apéro mon grand frère sert le kir à tous j'ai dit Non merci Ben tu si tu veux pas de la crème je te mets que du blanc Ok En fait je lorgnais la bouteille de jus d'orange des gamins mais je ne voulais pas éveiller les soupçons Dès que tous le monde avaient les yeux rivés sur son verre j'ai versé mon blanc dans le verre de mon mec et je me suis servie en jus d'orange alors qu'eux se servait le deuxième verre… Nous avons partagé 3 gros et longs repas pendant ce week-end… Et toujours le même scénario à l'apéro A table on me servait le premier de blanc que j'ai à peine goûté puis venait le tour du Bourgogne Comme tous le monde avait déjà bu et rebu son blanc ils se sont servi dans le même verre Moi à côté de mon verre de blanc et de mon verre d'eau j'ai posé mon verre de Bourgogne et j'en ai bu une gorgée pour le goûter Puis est venu le temps du Bordeaux idem j'ai repris un verre propre pour celui-ci et une petite gorgée Si bien qu'à la fin du repas j'avais devant moi 4 verres…et une carafe d'eau Puis venait le tour de mon ex alcool fétiche j'ai grugé en faisant semblant de m'en servi dans ma tasse à café ………………………… Personne ne m'a fait de réflexion ou de retour sur mon armada de verres Trop bizarre Ils ne se gênait pas pour faire des réflexions à la con du style Je trouve que pour une femme tu bois beaucoup et mon petit frère de rétorquer Pourquoi pour une Femme Elle boit beaucoup c'est tout Et une mouche volait dans la pièce… ………………………… Si bien qu'au dernier repas avant de partir j'ai lancé la perche et personne ne la saisi à part mon beau frère qui a dit oui c'est vrai tu bois beaucoup moins De toutes façons je m'en fous de leurs avis je n'attends pas un parterre de fleurs et une OLA c'est pour moi ce traitement c'est mon histoire Mais quand même Edit J'avais oublié de dire que Pour les cadeaux de Noel nous faisons une chaîne ce qui fait un seul cadeau et cette année ma nièce de 24 ans m'a offert UN PORTE BOUTEILLE Regards complices avec mon mari MDR Niveau ES La toux allergique fut calmée par les antisthaminiques mais pas à 100 les médecines parallèles ont pris le relais Insidieusement la dépression particulière dont je souffre depuis bien longtemps à creuser encore plus son trou depuis plusieurs mois je n'ai rien vu venir comme à chaque fois et j'ai été obligé de doubler mon AD pour ma déficience en Sérotonine Je vais mieux je suis moins à cran et je me sens plus légère Je ne sais pas si c'est du à l'arrêt d'alcool ou au baclo…qu'importe après tout le principal est que je me sente mieux dans mes baskets Niveau bouffe J'en suis encore indifférente je me force et j'en suis à 9 kilos de perdus ça commence à ce voir grave 61 kg pour 1m75 Faut que je mange…mais je n'ai aucunes envies Voili voiloi c'était les dernières nouvelles passez de très bonnes fêtes de fin d'année ;10012335 10040658 10011906 10006554;;non
réaction au TAVANIC domdom27 a écrit Cela fait 2 mois que je ne suis pas venu donner de mes nouvelles sur ce forum en raison de l'aggravation de mon état lié au TAVANIC ou au générique le levofloxacine Après les 2 premiers mois passés avec des problèmes uniquement aux tendons d'Achille et des béquille ma situation s'est fortement dégradée Fin Janvier on m'a prescrit du myolastan pendant 7 jours pour me décontracter Cela s'est révélée très négatif est-ce un hasard une évolution lié aux quinolones Dans les jours qui ont suivi j'ai commencé à avoir progressivement des courbatures principalement mains poignets épaules et cervicales Sur le coup j'ai pensé que c'était à force d'utiliser les béquilles puis c'est devenu des douleurs insupportables et des tendinites en plus ce sont ajoutés d'autres symptômes tremblements parfois très intenses et incontrôlables insomnie acouphêne sensation de mal être idées noires alors que je n'ai jamais fait de dépression tendons qui se contractent et bougent tous seuls localement Paradoxalement mes pieds ont désenflés et je pouvais marcher un peu sans béquilles de toute façon je ne pouvais plus me porter Je ne pouvais plus rien tenir dans les mains de manière prolongée même un téléphone ni écrire Par dessus doutant que tout soit lié aux quinolones un médecin m'a prescrit lors d'une séance d'acupuncture qui me soulage les épaules et les cervicales du laroxyl 5 gouttes le soir en me disant que cela me ferait du bien pour me détendre à dose homéopathique m'a t'on dit mais cela s'est encore aggravé les acouphênes se sont fortement empliffiés j'ai commencé à voir flou et à ressentir comme des brûlures dans les membres surtout pieds et mains et des tendinites en forte hausse avec en plus les genoux et les cuisses un cauchemar même pour manger c'était devenu difficile Sur les conseils de l'AIVQ j'ai eu au téléphone une rhumatologue sur Paris fin Février qui connait bien le problème pour une fois Pour elle tout les effets décalés sont liés aux quinolones il faut que les médecins l'admettent un point c'est tout Elle m'a conseillé le magnésium 400 mg jour B6 de préférence la patience et le repos la kiné étant en général innefficace dans ce type de cas et d'autres médicaments également voire aggravant De part son expérience mon âge les résultats des examens passés et les questions qu'elle m'a posé j'en ai encore au moins pour 4 à 5 mois Je fais en plus des cataplasmes d'argile verte 3x jour sur les zones les plus douloureuses Depuis cela s'est un peu amélioré je peux par exemple utiliser l'ordi préparer un repas mais de façon interrompue 1 2 H maxi porter une bouteille d'eau de 1 5 l même si certains jours sont beaucoup plus durs que d'autre Par contre des nodules sont apparus sur les 2 tendons d'achilles Je m'interroge sur une procédure contre Sanofi pas uniquement pour moi même si cela semble être très lourd en me disant que si l'on ne fait rien ils peuvent continuer librement à détruire la santé des gens Voilà je reviendrais donner de mes nouvelles en fonction de l'évolution Courage à toutes et tous la généralisation de vos tendinites ressemble beaucoup a mon cas sauf que moi les douleurs ont été générales de suite la rhumatho que vous avez télé-consulté est je suppose celle qui me suit depuis six ans maintenant à part les anti douleurs elle a raison c est juste le repos e la patiente qui vous aideront juste je rajouterais faire attention a ne pas se refaire mal les tendons restent très fragiles et les tendinites très fréquentes je pense que dans notre cas conseil au départ de mon kiné d ailleurs les béquilles sont sources de tendinites au épaules comme tout mouvements répétitifs a six ans je vais mieux si si heureusement d ailleurs mais je continue a être toujours vigilante a pas me brusquer comme je dis souvent comme une petite vieille petit pas petit panier on cours pas on porte pas ect sinon c est un tendons qui trinque le kiné moi il m'a soulagée par les techniques de froid de chaud d' ultra son et de massage très doux mais oui aucun effets curatif laroxyl quelle horreur morphine codéine même combat le lamaline a bien marcher sur moi et ce plusieurs mois et a bonne dose puis un jour j ai fait un rejet les cures ne servent pas a grand chose j en suis a ma 5 ème ça me fait du bien pour d autre raisons sciatique et souffle mais pas aux tendons un procès il faudrait que l on puisse se regrouper ce qui vendras un jour peut être une démarche crci attendez d'être mieux mais oui il faut le faire ne serais ce que pour que les cas remonte à la surface bon courage ;10011223 10040527 10022437 10029414 10012378;J01MA12 M03BX07 N06AA09 N02BE51;non
Le déclic ou pas en fait si si le déclic Bonjour Gaday Je viens d'apprendre la nouvelle Je suis triste et déçu Tu y avais tellement cru Ta décision de descendre à zéro dans les plus brefs délais me semble précipitée car Tu n'as pas exploré la piste d'un état dépressif de Libelle et Franck Tu peux toujours prendre des doses de baclofène moins fortes en recherchant une diminution des cravings si tu ne peux pas atteindre l'indifférence Comme dit Sylvie entre 200 et 0 il y a de la marge Les effets du baclofène sont spécifiques aux patients Moi par exemple j'ai perdu mon travail et ma petite amie en moins de 2 mois Pour palier à ce stress j'ai augmenté mes doses de baclofène pour encaisser le coup effets relaxants Lorsque j'ai tout perdu emploi et femme je me suis senti vidé avec une grosse fatigue de plus en plus intense un effet planant de plus en plus puissant un manque de force musculaire jambes et bras en plus de ce goût métallique en bouche très handicapant avec mon métier d'oenologue Mon addictologue a emis l'hypothèse d'une dépression Il n'a pas tord Pourquoi se mentir Maintenant je suis obligé de diminuer les doses de baclofène Je suis actuellement à 170 alors que j'étais à 260 Je me suis aussi doté d'autres outils tels que la psychologie et l'acupuncture Il faut dire que j'ai la chance d'avoir trouvé une psychologue avec qui le courant passe bien j'en ai testé 3 avant et d'avoir un acupuncteur spécialisé en addictologie Mon ami Gaday peux tu au moins tenter les pistes énoncées ci-desus Tu n'as rien à perdre mais tout à gagner Au plaisir de te lire Bien à toi Vincent;10042209 10012378 10016256;;non
A votre santé  Bonsoir Fripoune et phil nantes voilà j'ai une petite question Je suis fort dépressive pour le moment j'ai 2 anti dépresseurs du Prozac et du séroplex Je ne sais si c'est à cause du baclo et ou des antidépresseurs mais en 1 an j'ai pris 20kg J'aurais voulu complèter mon traitement par l'achat du tryptophane sérotonine pour mon humeur et ma prise de poids Mais est t'il compatible avec mes 2 AD puisque tous les 2 sont des capteurs de sérotonine Je ne risque pas un surdosage Merci de vos réponses et bonne soirée Mumu;;N06AB03;non
déprime dépression pas de bol ras le bol GUERISON  Coucou Mamanue tu vas bien Ah la voilà l'info qui me manquait automatique excellent je vais y voir peut-être pourras-tu me dire aussi comment certains reprennent des passages de posts précédents Bien pratique mais je ne sais pas faire Contente que tu sois là Oui j'en suis à 240mg et toujours rien à l'horizon sinon quelques petites modifications j'ai largement dépassé les normes en doses et en temps plus de limites maintenant je ne m'arrêterai que lorsque j'aurai abouti Quant à ma consommation je fais avec tatata je ne suis pas sûre de consommer moins c'est une époque révolue je ne peux pas me l'interdire c'est au-dessus de mes forces les somnolences sont très fortes du coup mais je le vis bien je peux m'endormir à n'importe quel moment et c'est plus fort que moi hier par ex dans un magasin sur un petit strapontin oui ce n'est pas une blague Quant à la dépression je ne réalise que maintenant au vue de certains fils qu'elle pouvait être dûe au baclo Je comprends parfaitement ta démarche car tu as une expérience autre sur l'abstinence la durée le relationnel avec tes accompagnants et une certaine discipline Oui j'ai encore et toujours la pêche pour diverses raisons cumulées AD baclo forum et un mieux-être personnel Tu as dû remarquer aussi qu'un p'tit zigoto envahissait parfois mon fil perturbant son rythme fluide lui aussi y ajoute son brin de bonne humeur J'irai à mon tour sur ton fil tout à l'heure je sais que tu aimes beaucoup lire mais tu n'y aura pas droit Une p'tite vidéo adorable A tout' Gros bisous BABOUCHE mais il m'em ce pseudo ;10012378;;non
POSTEZ ICI POUR VOS TEMOIGNAGES EFFEXOR LP  Misly comme toi je prend beaucoup de médicamentnordaz un entier parfois je prené 2 tercian un xanax 0 5 plus un stresam vu que mon angoisse ne part pas du théralene pour dormir moi je te conseil peut etre une hospitalisation le temps que le traitement face effet tu sera au calme et les medoc te seront limitéMoi ça m'avait fait beaucoup de bien sauf qu'en rentrant j'ai fait une rechute car mon psychiatre était un c et mon traitement valdoxan n'est meme pas indiqué dans l'anxiété et son eficassité sur la depression était contreversé bisous a vous ;10002866 10002507;N05BX03 N05AA06 N05BA12 N06AX16 N06AX22;non
NoMore indifférent à 360mg au bout de 95 jours Bonjour à tous J'écris pour la 1ère fois et g besoin de conseils cela fait 4 mois que je suis sous baclo G des ES comme vous tous mais surtout je traverse une sévère dépression et je n'arrête pas de grossir Ce qui est étonnant quand on lit vos témoignages Alors svp aidez-moi;10012378;;non
Edollard Je veux m'en sortir et je m'en sortirai Première journée sous 90 mg et 5 mois sous baclo Je resiste plus longtemps à la fatigue je ne somnole plus la journée comme au début du traitement l'alcool je comate un peu plus que le palier précédent 80mg mais je m'énerve moins ou quasiment plus contrairement à ce que je lis sur certains posts le libido est au rouge clignotant je suis célibataire J'ai remarqué un retour d'appétit mais le fait de tout oublier m'empêche d'avoir une alimentation régulière J'ai l'impression d'avoir un deuxième moi possédant toute sa raison qui n'aurait jamais fait toutes les bétises que j'ai commises devant moi Tout ou partie du moins ce qui me reste en ma memoire de mon passé me revient Tout ce que je ne voyais pas de ma précédente relation sous l'effet de l'alcool les manipulations de mon ex épouse tout ce que j'arrive à admettre aujourd'hui avec ce traitement et surtout avec votre aide sans oublier ma chérie d'amour je nomme Change qui a toujours su me trouver la bonne répartition pour que ma pénitence soit moindre pour moi Je me rappelle comment je suis tombé dans cette dépendance chose qui ne m'est jamais revenu quand je buvais je vous finirai ce post plus tard car je tremble sous le coup de l'émotion A suivre ;10012335 10016256;;non
 de quels effets indesirables tu parles tu sais avec les diarrhées que j'ai eu avec le byetta et l'amarel ca ne peut etre pire je pense;;A10BJ01 A10BB12;non
Cymbalta Troubles du sommeil  bonjour je prends cymbalta 60mg depuis 3 semaines et dès le début du traitement j'ai eu des nuits TRES agitées plein de cauchemars je me retournais dans tous les sens et à 5h35 pile j'étais réveillée TOUS les matins l'horreur alors toute seule j'ai décidé de ne plus prendre le médicament le soir au coucher mais le matin au lever et depuis je dors mille fois mieux le changement a été radical ;10029414;N06AX21;non
En route vers ma future vie  Gérard j'ai donné de mes nouvelles juste au dessus de ton post Vaillant non je ne veux pas replongerPhil ça me rassurerai vraiment que vous ayez raison tous les 2 Ca voudrait dire que ça pourrai re-fonctionner plus rapidement que si c'était dû au baclo J'ai hâte que tout ça fasse effet Ca fait des mois que je ne sors plus et que je m'éloigne de tout Le grand test sera ma semaine à Strasbourg en famille Ca va être dur dans le sens où personne ne sait encore que je ne bois plus encore moins le baclo et pas du tout la dépression vu que ça vient juste de me tomber dessus Ben on verra bien ;10012378;;non
yvlis Re-bonsoirDésolée à la lecture des autres messages j'ai compris que j'aurai dû mieux me présenter tout à l'heure Alors voilà buveuse occasionnelle depuis 35 ans périodes plus ou moins longues et en fait du n'importe quoi depuis tout ce temps Les dernières années me suis calmée mais les périodes avec alcool allaient de 2 à 3 mois pour passer à quelques semaines et même jours Depuis ma prise de baclo le 21 12 12 les périodes avec sont relativement courtes mais jamais je n'arrive à dépasser 1 ou 2 mois d'abstinence Ayant des troubles bi-polaires pour lesquels je suis traitée j'ai malgré tout des phases dépressives ou hyper excitée c'est dans ces moments-là que j'ai besoin de consommer car malgré le traitement Trileptal je n'arrive pas à gérer le stress dû aux hauts ou aux bas J'ai 54 ans mes 2 filles se sont éloignées de moi surtout la plus jeune 32 ans que je n'ai plus vue ni entendue depuis 2 ans Elles n'en peuvent plus de mes déconnes Mon mari 75 ans est malade Alzheimer en ALD depuis 4 ans Tout cela est lourd à gérer Sa maladie la mienne et se battre contre l'alcool en plus Je travaille mais à temps partiel depuis début mars pour pouvoir m'occuper de lui Mon médecin prescripteur est psychiatre à Strasbourg professeur et chef de service hospitalier C'est chez lui que j'ai été hospitalisée il y a 2 ans sur l'insistance de ma fille aînée car il est spécialisé en maladie bi-polaire trouble qu'elle soupçonnait chez moi et qui ont donc été avérés Donc depuis un an je suis suivie régulièrement par ce Grand et Super Monsieur à qui j'ai demandé depuis l'automne dernier du baclofène Ce n'est qu'après une énième chute le 13 décembre 2012 arcade sourcilière fendue urgences points de suture la honte au réveil à l'hosto ma tenue de clocharde etc qu'il a cédé Prise progressive jusqu'à 100 mg j Ai augmenté de 20 mg depuis 2 jours mais suis obligée de me shooter aux expressos pour ne pas dormir debout Quels sont les effets secondaires chez vous autres Bizarrement au début j'avais plus le dégout de l'alcool que maintenant même les cigarettes n'avaient plus de goût Il m'arrive ces dernières nuits de rêver que je buvais Je ne veux PLUS boire Je ne VEUX PLUS me fracasser la tête Au secours ;10042209 10016173;N03AF02;non
Byetta 5 et 10u iseut80 a écrit Bonjour Le traitement sous Byetta suit son chemin Sans le Diamicron mes résultats de glycémie sont un peu plus élevés 2h00 aprés le diner 1 30 au lieu de 1 10 Et à jeun entre 1 10 jusque 1 20 Si l'hb est bonne je reste comme ca si elle a monté je prendrai en de la Byetta 5 Cependant je reste toujours angoissée car je n'ai pas repris le boulot à cause de cette fatigue ravageuse et la grande perte de poids qui a rendue mon dos et jambes douloureux probleme que j'avais depuis tres lomptemps avant le diabète Comment vivez vous votre quotidien au travail Etes vous restez sans travailler à la prise de la Byetta Toutes ces questions pour me rendre compte comment réagissent les autres Car de ce coté là c'est un echec enfin je le vis comme ca A bientot de vous lire Lisa Bonjour Moi aussi je suis traitée par Byetta je suis infirmière et assez fatiguée J'ai la chance d'avoir des horaires réguliers à la journée Les levers sont difficiles je suis un peu nauséeuse après le petit déjeuner mais dans la journée ça va Le soir la fatigue se fait sentir sauf les jours où j'ai une activité physique Bon courage à vous;10048061 10012601;A10BB09 A10BJ01;non
